"ID"	"V"	"FRWAC_VFREQ"	"VTerminaison"	"CandidatN"	"NisPredicative"	"FRWAC_NFREQ"	"Source"	"CheckedBy"	"LastRevision"	"Validated"	"Commentaire"
11162	"placer"	11345	"-er"	"placeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 20:02:53"	"TRUE"	
7849	"gagner"	11320	"-er"	"gagne"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
3000027	"gagner"	11320	"-er"	"gain"	"TRUE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 16:18:12"	"TRUE"	
11566	"préparer"	11259	"-er"	"préparage"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:32:42"	"TRUE"	
11567	"préparer"	11259	"-er"	"préparation"	"TRUE"	8965	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
12332	"regarder"	11205	"-er"	"regard"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:36:12"	"TRUE"	
8948	"intégrer"	11142	"-er"	"intégrateur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:37:30"	"TRUE"	
8947	"intégrer"	11142	"-er"	"intégration"	"TRUE"	6929	"VN_AUTO:2013-07-02"	"AB"	"2013-07-23 18:34:52"	"TRUE"	
3082	"composer"	10988	"-er"	"composeuse"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:40:20"	"TRUE"	
3083	"composer"	10988	"-er"	"compositeur"	"FALSE"	0	"VN_AUTO:2013-07-02"	"AB"	"2013-07-24 11:40:51"	"TRUE"	
